direction,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pct,pnl,capital_after
LONG,2023-05-06 14:30:00+00:00,0.07663,2023-05-06 14:45:00+00:00,0.07651506,SL,-0.15,-15.0,9985.0
LONG,2023-05-21 16:00:00+00:00,0.07229,2023-05-21 16:15:00+00:00,0.07218156,SL,-0.15,-14.9775,9970.0225
LONG,2023-05-24 05:00:00+00:00,0.07138,2023-05-24 05:15:00+00:00,0.07127293,SL,-0.15,-14.955,9955.0675
SHORT,2023-05-27 23:30:00+00:00,0.07264,2023-05-28 00:15:00+00:00,0.07242208,TP,0.3,29.8652,9984.9327
SHORT,2023-05-28 22:45:00+00:00,0.07349,2023-05-28 23:00:00+00:00,0.07360024,SL,-0.15,-14.9774,9969.9553
LONG,2023-06-05 03:15:00+00:00,0.07157,2023-06-05 03:45:00+00:00,0.07146265,SL,-0.15,-14.9549,9955.0003
LONG,2023-06-05 19:00:00+00:00,0.06644,2023-06-05 19:30:00+00:00,0.06663932,TP,0.3,29.865,9984.8653
LONG,2023-06-07 11:15:00+00:00,0.06812,2023-06-07 11:30:00+00:00,0.06832436,TP,0.3,29.9546,10014.8199
SHORT,2023-06-09 13:45:00+00:00,0.07024,2023-06-09 14:00:00+00:00,0.07002928,TP,0.3,30.0445,10044.8644
LONG,2023-06-20 14:45:00+00:00,0.06114,2023-06-20 15:45:00+00:00,0.06132342,TP,0.3,30.1346,10074.999
LONG,2023-06-24 16:00:00+00:00,0.06612,2023-06-24 16:15:00+00:00,0.06602082,SL,-0.15,-15.1125,10059.8865
SHORT,2023-06-30 04:15:00+00:00,0.06508,2023-06-30 04:30:00+00:00,0.06517762,SL,-0.15,-15.0898,10044.7967
LONG,2023-07-05 12:30:00+00:00,0.06661,2023-07-05 12:45:00+00:00,0.06651009,SL,-0.15,-15.0672,10029.7295
SHORT,2023-07-14 16:15:00+00:00,0.07117,2023-07-14 16:30:00+00:00,0.07127676,SL,-0.15,-15.0446,10014.6849
SHORT,2023-07-15 07:45:00+00:00,0.07315,2023-07-15 08:00:00+00:00,0.07325973,SL,-0.15,-15.022,9999.6628
SHORT,2023-07-17 06:00:00+00:00,0.07138,2023-07-17 06:30:00+00:00,0.07148707,SL,-0.15,-14.9995,9984.6633
LONG,2023-07-22 23:45:00+00:00,0.07049,2023-07-23 00:00:00+00:00,0.07038426,SL,-0.15,-14.977,9969.6864
SHORT,2023-07-24 08:15:00+00:00,0.07506,2023-07-24 08:30:00+00:00,0.07483482,TP,0.3,29.9091,9999.5954
SHORT,2023-07-25 18:45:00+00:00,0.0817,2023-07-25 19:00:00+00:00,0.08182255,SL,-0.15,-14.9994,9984.596
SHORT,2023-07-29 19:15:00+00:00,0.08038,2023-07-29 19:30:00+00:00,0.08050057,SL,-0.15,-14.9769,9969.6191
LONG,2023-07-30 20:30:00+00:00,0.07822,2023-07-30 20:45:00+00:00,0.07810267,SL,-0.15,-14.9544,9954.6647
LONG,2023-08-02 15:45:00+00:00,0.0754,2023-08-02 16:00:00+00:00,0.0752869,SL,-0.15,-14.932,9939.7327
LONG,2023-08-15 19:30:00+00:00,0.07108,2023-08-15 20:00:00+00:00,0.07097338,SL,-0.15,-14.9096,9924.8231
LONG,2023-08-17 16:30:00+00:00,0.06576,2023-08-17 16:45:00+00:00,0.06566136,SL,-0.15,-14.8872,9909.9359
LONG,2023-08-24 15:00:00+00:00,0.06271,2023-08-24 15:15:00+00:00,0.06261594,SL,-0.15,-14.8649,9895.071
LONG,2023-09-10 04:45:00+00:00,0.06173,2023-09-10 05:00:00+00:00,0.06163741,SL,-0.15,-14.8426,9880.2284
SHORT,2023-10-01 23:15:00+00:00,0.0631,2023-10-01 23:30:00+00:00,0.06319465,SL,-0.15,-14.8203,9865.408
LONG,2023-10-02 19:00:00+00:00,0.06182,2023-10-02 19:15:00+00:00,0.06172727,SL,-0.15,-14.7981,9850.6099
LONG,2023-10-04 01:00:00+00:00,0.06077,2023-10-04 01:15:00+00:00,0.06067884,SL,-0.15,-14.7759,9835.834
SHORT,2023-10-20 04:00:00+00:00,0.05937,2023-10-20 04:15:00+00:00,0.05945906,SL,-0.15,-14.7538,9821.0802
SHORT,2023-11-28 15:15:00+00:00,0.07944,2023-11-28 15:30:00+00:00,0.07955916,SL,-0.15,-14.7316,9806.3486
SHORT,2023-12-08 21:45:00+00:00,0.10206,2023-12-08 22:00:00+00:00,0.10221309,SL,-0.15,-14.7095,9791.6391
LONG,2024-01-03 12:30:00+00:00,0.08277,2024-01-03 12:45:00+00:00,0.08264584,SL,-0.15,-14.6875,9776.9516
LONG,2024-01-06 07:15:00+00:00,0.07947,2024-01-06 07:30:00+00:00,0.07970841,TP,0.3,29.3309,9806.2825
LONG,2024-01-07 23:45:00+00:00,0.07823,2024-01-08 00:00:00+00:00,0.07811266,SL,-0.15,-14.7094,9791.5731
LONG,2024-01-12 17:45:00+00:00,0.08139,2024-01-12 18:30:00+00:00,0.08126792,SL,-0.15,-14.6874,9776.8857
LONG,2024-01-19 17:00:00+00:00,0.0763,2024-01-19 17:15:00+00:00,0.0765289,TP,0.3,29.3307,9806.2164
SHORT,2024-01-20 20:30:00+00:00,0.08371,2024-01-20 20:45:00+00:00,0.08383557,SL,-0.15,-14.7093,9791.507
SHORT,2024-01-20 21:30:00+00:00,0.08416,2024-01-20 21:45:00+00:00,0.08428624,SL,-0.15,-14.6873,9776.8198
SHORT,2024-01-20 23:45:00+00:00,0.08773,2024-01-21 00:00:00+00:00,0.0878616,SL,-0.15,-14.6652,9762.1545
SHORT,2024-02-05 11:30:00+00:00,0.0797,2024-02-05 12:00:00+00:00,0.07981955,SL,-0.15,-14.6432,9747.5113
